,Features,Influência
15,Outstanding_Debt,0.10429029919117434
7,Interest_Rate,0.07670432860570929
10,Delay_from_due_date,0.07218813367633412
17,Credit_History_Age,0.05752180153579602
14,Credit_Mix,0.05358864791348199
12,Changed_Credit_Limit,0.05237358922585526
13,Num_Credit_Inquiries,0.04952376694332161
18,Payment_of_Min_Amount,0.049304627012824946
4,Monthly_Inhand_Salary,0.041153422732214784
19,Total_EMI_per_month,0.04064829119276628
3,Annual_Income,0.03937895611139887
16,Credit_Utilization_Ratio,0.03925277766829243
20,Amount_invested_monthly,0.03882269884569117
6,Num_Credit_Card,0.03863262195978872
11,Num_of_Delayed_Payment,0.03745769341406822
9,Type_of_Loan,0.03611495103312469
5,Num_Bank_Accounts,0.035767469416295876
1,Age,0.03562767584650509
8,Num_of_Loan,0.030324961019004497
2,Occupation,0.027097337073230834
0,Month,0.026218298926910966
21,Payment_Behaviour,0.01799252742248222
22,Monthly_Balance,1.5123233727937328e-05
